Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
2016 Tour de Gruene TOURS;Saturday, November  5, 2016;Lazy L & L 11699 River Road New Braunfels , TX 78132 ;cycling; Cycling New Braunfels, TX;Tour de Gruene;http://www.tourdegruene.com;http://www.active.com//new-braunfels-tx/cycling/races/tour-de-gruene-tours-2016?int=72-3-A1ce90a34f-5081-4d13-a7c4-7b7c9ba76ca3
Cardio Cycle and Strength 55 Min.;Wednesday, November  2, 2016 @  7:00 PM (EDT) - Wednesday, December 14, 2016 @  7:55 PM (EST);Summit On The Park 46000 Summit Parkway Canton , MI 48188 ;cycling; Fitness Canton, MI;Canton Leisure Services; ;http://www.active.com//canton-mi/cycling/spinning-classes/cardio-cycle-and-amp-strength-55-min-2016-25424317?int=72-3-A1ebaf5da0-2533-424b-af5c-937b04e12f0e
ev nov3;Friday, November  4, 2016 - Thursday, January 12, 2017;lko lucknow lucknow lucknow , utaar pradesh , India 201111 ;cycling; Cycling;org1; ;http://www.active.com//lucknow-utaarpradesh/cycling/ev-nov3-2016?int=72-3-A165de2e67-1999-49cd-8f61-9a94646baad4
Malibu Gran Cookie Dough presented by Phil Gaimon of Cannondale Pro Cycling;Sunday, November  6, 2016 - Sunday, November  6, 2016;Cal State Channel Islands, CA 1 University Dr Camarillo , CA 93012 ;cycling; Cycling Camarillo, CA;Malibu Gran Cookie Dough;http://www.philsfondo.com;http://www.active.com//camarillo-ca/cycling/races/malibu-gran-cookie-dough-presented-by-phil-gaimon-of-cannondale-pro-cycling-2016?int=72-3-A28e80a913-9805-4f8e-a9e5-2b999d8d0df8
2017 Jack & Jill Downhill Marathon & Half Marathon: DAY 1;Saturday, July 29, 2017;Hyak Parking Lot Snoqualmie Pass Snoqualmie Pass , WA 98068 ;cycling; Running Half Marathon Marathon;Gemini Next;http://www.jackjillmarathon.com;http://www.active.com//snoqualmie-pass-wa/running/distance-running-races/jack-and-jill-downhill-marathon-and-half-marathon-day-1-2017?int=72-3-A5372cd77e-e715-4674-a001-107887895ab0
Mountain Bike Rentals;Sunday, November 13, 2016 @  9:00 AM (MST) - Saturday, November 19, 2016 @  4:30 PM (MST);Sweet Memorial Building 2515 Tunnel Rd Estes Park , CO 80511 ;cycling; Cycling Mountain Biking Estes Park, CO;YMCA of the Rockies; ;http://www.active.com/http://www.activekids.com/estes-park-co/cycling/mountain-biking-reservations/mountain-bike-rentals-2016-26179889?int=72-3-A284fb772a-a493-48a2-92b5-aa6ad7c7d34b
Ring of Beara Cycle Kenmare;Saturday, May 27, 2017; ;cycling; Cycling;Elite Event Management;http://ringofbearacyclekenmare.com/;http://www.active.com//kenmare-countykerry/cycling/races/ring-of-beara-cycle-kenmare-2017?int=72-3-A387939edf-b6d1-4cd4-aef6-fb05533ec28b
Ride the Point 2016;Saturday, November 12, 2016;Liberty Station 2562 Lanning Road San Diego , CA 92106 ;cycling; Cycling Metric Century 25 Mile San Diego, CA;Point Loma Rotary Club;http://ridethepoint.org/;http://www.active.com//san-diego-ca/cycling/races/ride-the-point-2016?int=72-3-A4ea90b282-449c-4c73-a326-10e09a82c6ba
Soul Spin Mix;Wednesday, May  2, 2012 @  6:00 PM (EDT) - Wednesday, December 30, 2020 @  7:00 PM (EST);BFUMC Rec 709 Christmas Ave. Bethlehem , GA 30620 ;cycling; Cycling Spinning;Bethlehem First United Methodist Church; ;http://www.active.com//bethlehem-ga/cycling/spinning-classes/soul-spin-mix-2012-13286819?int=72-3-A4ced276d8-fc8f-4c44-9362-863736f0ef98
Assault on the Carolinas 2017;Saturday, April  8, 2017;Brevard Water Oaks Suites East Main Street Brevard , NC 28712 ;cycling; Cycling Brevard, NC;Rotary Club of Pisgah Forest;http://www.assaultonthecarolinas.com/;http://www.active.com//brevard-nc/cycling/races/assault-on-the-carolinas-2017?int=72-3-A79e619c4c-84b7-476a-8663-f4b493377b0c
Wannamaker North Trail;Saturday, February 11, 2017 @  2:00 PM;  8888 University Blvd North Charleston , SC 29406.0 ;cycling; Cycling Mountain Biking North Charleston, SC; ; ;http://www.active.com//north-charleston-sc/cycling/mountain-biking-classes/wannamaker-north-trail-2017-8?int=72-3-A38163fe6e-d2ef-4848-98f4-c5728244d094
Orangeburg Rivers Bridge Ramble;Saturday, November  5, 2016;Orangeburg Fine Arts Center 649 Riverside Dr Orangeburg , SC 29115 ;cycling; Cycling Century Metric Century;Orangeburg Department of Public Safety; ;http://www.active.com//orangeburg-sc/cycling/races/orangeburg-rivers-bridge-ramble-2016?int=72-3-A239abcce2-caca-421f-a31a-8e541428cab6
Finish The Ride, Run, Walk N' Roll Holiday Challenge (Register @ www.FinishTheRide.org);Sunday, December 11, 2016;Woodley Park 1 6350 Woodley Ave Van Nuys , CA 91436 ;cycling; Cycling Half Century 25 Mile 10K Half Marathon 5K Beginner Van Nuys, CA;Streets Are For Everyone (SAFE);http://www.FinishTheRide.org;http://www.active.com//van-nuys-ca/running/distance-running-races/finish-the-ride-run-walk-n-roll-holiday-challenge-register-www-finishtheride-org-2016?int=72-3-A4db9f39d2-f982-4adf-9cf8-735326354ca4
Cycle;Monday, September 12, 2016 @  9:35 AM (EDT) - Monday, December 26, 2016 @ 10:30 AM (EST);Jennersville Branch 880 W. Baltimore Pike West Grove , PA 19390 ;cycling; Cycling West Grove, PA;YMCA OF THE GREATER BRANDYWINE; ;http://www.active.com//west-grove-pa/cycling/classes/cycle-2016-26339635?int=72-3-A7d58bf1f2-04d0-4b82-8f87-87fa1c295b2d
Gran Fondo Miami 2016;Sunday, November  6, 2016 - Sunday, November  6, 2016;MIAMI 3500 Pan American Drive Coconut Grove , FL 33133 ;cycling; Cycling 25 Mile;Gran Fondo Miami, LLC.;http://www.granfondomiami.com;http://www.active.com//coconut-grove-fl/cycling/races/gran-fondo-miami-2016?int=72-3-A64119e245-df90-458f-963e-0f7813228369
Giro D' Vino 2016;Sunday, November  6, 2016 - Sunday, November  6, 2016;Woodbridge Winery 5950 East Woodbridge Rd. Acampo , CA 95220 ;cycling; Cycling;Delta Velo;http://deltavelo.com/giro_d_vino;http://www.active.com//acampo-ca/cycling/races/giro-d-vino-2016?int=72-3-A8751be25f-8cd7-4f00-aca4-e26e34198081
Northwest Singletrack Smorgasbord;Friday, November  4, 2016 - Saturday, November  5, 2016;TBA TBD TBD , OR 97224 ;cycling; Cycling Mountain Biking Tbd, OR;Dog Star Adventure Tours; ;http://www.active.com/http://www.activekids.com/tbd-or/cycling/mountain-biking-camps/northwest-singletrack-smorgasbord-2016-d25?int=72-3-A8d25c08ef-e3c1-4eb9-bd07-1d9b8b6a456c
2016 Turkey Roll Bicycle Rally;Saturday, November 19, 2016;Immaculate Conception Catholic Church Gym 2255 N Bonnie Brae DENTON , TX 76207 ;cycling; Cycling Metric Century Denton, TX;Denton Breakfast Kiwanis;http://www.DentonBreakfastKiwanis.org;http://www.active.com//denton-tx/cycling/races/turkey-roll-bicycle-rally-2016?int=72-3-A381a30dc3-01bd-421a-bbcc-141dccc418b0
2016 Bike the Coast - Taste the Coast;Saturday, November  5, 2016;Oceanside 300 N. The Strand Oceanside , CA 92054 ;cycling; Cycling Half Century 25 Mile Oceanside, CA;Event Media, Inc. - II;http://www.bike-the-coast.com;http://www.active.com//oceanside-ca/cycling/races/bike-the-coast-taste-the-coast-2016?int=72-3-A7594a6236-bad4-4e93-8484-a1c6c8bbcc55
Entergy Bike the Big Easy;Saturday, October 14, 2017;Mercedes Benz Superdome 1500 Sugar Bowl Drive New Orleans , LA 70112 ;cycling; Cycling New Orleans, LA;Premier Event Management;http://www.bikethebigeasy.com;http://www.active.com//new-orleans-la/cycling/races/entergy-bike-the-big-easy-2017?int=72-3-A56536adc5-80dc-4cc7-8715-98513f278224
Cycling Classes - Quick Cycle;Monday, January  9, 2017 @  8:00 AM (CST) - Monday, March 20, 2017 @  8:30 AM (CDT);Boulder Point Zero Boulder Hill Pass Montgomery , IL 60538 ;cycling; Cycling Montgomery, IL;Oswegoland Park District; ;http://www.active.com//montgomery-il/cycling/classes/cycling-classes-quick-cycle-2017?int=72-3-A25e5e0788-a187-4575-b90f-2c4b7fe5761a
Chattahoochee Challenge Adventure Race;Saturday, November 19, 2016;Uptown Columbus 1036 Broadway Columbus , GA 31906 ;cycling; Adventure Racing Columbus, GA;TriColumbusGa;http://www.tricolumbusga.com;http://www.active.com//columbus-ga/cycling/races/chattahoochee-challenge-adventure-race-2016?int=72-3-A8b9025039-a067-4b06-acb8-8ed60776a9a5
Mountain River Meander Permanent;Friday, December 31, 1999 @  1:00 PM (UTC) - Tuesday, December 31, 2019 @  1:00 PM (UTC);Mountain River Hall corner of Mountain River and Dip Road Mountain River , Tasmania , Australia 7109 ;cycling; Cycling; ;http://regonline.activeglobal.com/Mountain_River_Perm;http://www.active.com//mountain-river-tasmania/cycling/mountain-river-meander-permanent-1999?int=72-3-A4c8d1fb88-4e49-4674-87f0-5ea4ac3c6ed4
Cycling Classes - Quick Cycle;Monday, January  9, 2017 @  8:00 AM (CST) - Monday, March 20, 2017 @  8:30 AM (CDT);Boulder Point Zero Boulder Hill Pass Montgomery , IL 60538 ;cycling; Cycling Montgomery, IL;Oswegoland Park District; ;http://www.active.com//montgomery-il/cycling/classes/cycling-classes-quick-cycle-2017?int=72-3-A95e5e0788-a187-4575-b90f-2c4b7fe5761a
Upstate Cranksgiving 2016;Friday, November 18, 2016 - Sunday, November 20, 2016;Upstate South Carolina In the Mountains Greenville , SC 29609 ;cycling; Cycling Mountain Biking Beginner Greenville, SC;ECCorp;http://www.upstatecranksgiving.org;http://www.active.com//greenville-sc/cycling/mountain-biking-races/upstate-cranksgiving-2016?int=72-3-A59107cdb4-a794-401a-8e52-8e60e21ba3f2
Mineola Pedal for Paws;Saturday, November  5, 2016;Mineola Nature Preserve 1860 County Road 2724 Mineola , TX 75773 ;cycling; Cycling;APET SPCA;http://www.apetspca.org/;http://www.active.com//mineola-tx/cycling/races/mineola-pedal-for-paws-2016?int=72-3-A96d33fca4-6d56-4e2d-a05f-7da6e6f0af2d
Tour de OC 2017;Saturday, May 20, 2017;Vanguard University 55 Fair Drive Costa Mesa , CA 92627 ;cycling; Cycling Half Century Century 25 Mile Costa Mesa, CA;Tour de OC;http://www.tourdeoc.org;http://www.active.com//costa-mesa-ca/cycling/races/tour-de-oc-2017?int=72-3-A14b351529-ca30-4b63-81bd-72e4bc55061c
Mountain Bike Rentals;Sunday, October 30, 2016 @  9:00 AM (MDT) - Saturday, November  5, 2016 @  4:30 PM (MDT);Sweet Memorial Building 2515 Tunnel Rd Estes Park , CO 80511 ;cycling; Cycling Mountain Biking Estes Park, CO;YMCA of the Rockies; ;http://www.active.com/http://www.activekids.com/estes-park-co/cycling/mountain-biking-reservations/mountain-bike-rentals-2016-26178317?int=72-3-A3a7a18a1c-5889-4d6e-98a9-05b9bcf97227
EX2 Adventures Rendezvous Run and Ride-FALL;Saturday, November  5, 2016;Schaeffer Farm Trail System Schaeffer Road Germantown , MD 20874 ;cycling; Cycling Mountain Biking Half Marathon 10K Germantown, MD;EX2 Adventures;http://www.ex2adventures.com/rendezvous-fall.php;http://www.active.com//germantown-md/cycling/mountain-biking-races/ex2-adventures-rendezvous-run-and-ride-fall-2016?int=72-3-A5cfaddc20-e334-42ed-9cae-83c6a97e0054
The Nello 2017;Sunday, June 25, 2017;Topsham Rugby Club Topsham Exeter , Devon , United Kingdom EX3 0LY ;cycling; Cycling Century Half Century;FORCE Cancer Charity;http://www.forcecancercharity.co.uk;http://www.active.com//exeter-devon/cycling/races/the-nello-2017?int=72-3-A6321aba0b-c1e1-4cfd-b6a8-9e9c303f75d8
2016 Escape to the Keys Bicycle Festival;Friday, December  2, 2016 - Sunday, December  4, 2016;MIami Homestead Speedway 1 Speedway Blvd Homestead , FL 33035 ;cycling; Cycling;Ride Miami Cycling Club; ;http://www.active.com//homestead-fl/cycling/escape-to-the-keys-bicycle-festival-2016-26214366?int=72-3-A86d93efa2-852f-4306-addd-a1916a7f67af
Cycling Classes - Cycling;Thursday, March  2, 2017 @  5:30 AM (EST) - Thursday, April 13, 2017 @  6:15 AM (EDT);Downriver Family YMCA 16777 Northline Road Southgate , MI 48195 ;cycling; Cycling Southgate, MI;YMCA of Metropolitan Detroit; ;http://www.active.com//southgate-mi/cycling/classes/cycling-classes-cycling-2017-27093298?int=72-3-A6aa8f39a5-9d13-4cc3-996d-2f8522780a16
Cycling Classes - Cycling;Tuesday, November  1, 2016 @  5:35 AM (EDT) - Tuesday, December 13, 2016 @  6:30 AM (EST);Carls Family YMCA 300 Family Drive Milford , MI 48381 ;cycling; Cycling Milford, MI;YMCA of Metropolitan Detroit; ;http://www.active.com//milford-mi/cycling/classes/cycling-classes-cycling-2016-25164169?int=72-3-A10103f0e6f-efc8-4b0b-b200-5db9fdf93b5e
