Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Mud & Chocolate Trail Run Weekend;Saturday, November  5, 2016 - Sunday, November  6, 2016;Redmond Watershed 21760 Novelty Hill Rd. Redmond , WA 98053 ;running; Running Trail Running Half Marathon 5 Mile Redmond, WA;NRG Running;http://mudandchocolate.com;http://www.active.com//redmond-wa/running/mud-runs-races/mud-and-chocolate-trail-run-weekend-2016-24559464?int=72-3-A1e72bf7b4-654b-4f8d-a554-2c42dc6b2de3
RUN for your LUNGS 6th ANNUAL;Saturday, November  5, 2016;Lake Blackshear Resort 2459-H US Highway 280 West Cordele , GA 31015 ;running; Running Distance Running 1 Mile 5K;RUN for your LUNGS;http://runforyourlungs.org;http://www.active.com//cordele-ga/running/distance-running-races/run-for-your-lungs-6th-annual-2016?int=72-3-A86745581d-d235-4a47-8ec3-302b4b7c5a80
Fight For Air Climb Columbus;Saturday, February 18, 2017;Rhodes Tower 30 East Broad Street Columbus , OH 43215 ;running; Other Endurance Columbus, OH;The American Lung Association in Ohio;http://www.climbcolumbus.org;http://www.active.com//columbus-oh/running/distance-running-races/fight-for-air-climb-columbus-2017?int=72-3-A447ee4de1-acab-4303-8a0d-a10ed1c3a1a2
Monday Night Brewing Westside 10;Saturday, December 10, 2016;Atlanta West Midtown Atlanta , GA 30318 ;running; Running Distance Running 10K 10 Mile Beginner Atlanta, GA;runningnerds;http://facebook.com/MNBWestside10;http://www.active.com//atlanta-ga/running/distance-running-races/monday-night-brewing-westside-10-2016?int=72-3-A285172e01-2a56-456d-bdd9-3917bfff6022
Turkey Trot Los Angeles;Thursday, November 24, 2016;Downtown L.A. - Civic Center Grand Park N. Spring Street Los Angeles , CA 90012 ;running; Running 5K 10K 1K Beginner Los Angeles, CA;Generic Events; ;http://www.active.com//los-angeles-ca/running/distance-running-races/turkey-trot-los-angeles-2016?int=72-3-A351fce2d8-f49f-4174-8dd2-33c86f099e3c
2017 Independence Day Classic;Tuesday, July  4, 2017;Newhall Memorial Park 24933 Newhall Ave Newhall , CA 91321 ;running; Running 15K 1K 5K 10K Beginner;Santa Clarita Runners;http://id5k.scrunners.org;http://www.active.com//newhall-ca/running/distance-running-races/independence-day-classic-2017?int=72-3-A9401f4a90-9a35-4323-9f6e-b8d66f056794
2016 Super Heroes Half Marathon Weekend;Thursday, November 10, 2016 - Sunday, November 13, 2016;DisneylandВ® Resort 1313 S. Harbor Blvd Anaheim , CA 92802 ;running; Running Distance Running Half Marathon 5K 10K Anaheim, CA;runDisney;http://www.runDisney.com;http://www.active.com//anaheim-ca/running/distance-running-races/super-heroes-half-marathon-weekend-2016?int=72-3-A5c6470c2b-5801-410b-9fc6-d1fe7c7f6a9f
Big Sur International Marathon 2017 Random Drawings;Sunday, April 30, 2017;Carmel, CA Highway 1 at Rio Road Carmel , CA 93923 ;running; Running Distance Running Marathon;Big Sur International Marathon_Drawing;http://www.bsim.org;http://www.active.com//carmel-ca/running/distance-running-races/big-sur-international-marathon-random-drawings-2017?int=72-3-A1047e1994d-4072-4a9e-8109-06d60780f299
Holiday Fantasy of Lights 5K Run & Fitness Walk 2016;Saturday, November 12, 2016;Tradewinds Park 3600 West Sample Road Coconut Creek , FL 33066 ;running; Running Distance Running 5K Beginner;Holiday Fantasy of Lights;http://www.holidaylightsdrivethru.com;http://www.active.com//coconut-creek-fl/running/distance-running-races/holiday-fantasy-of-lights-5k-run-and-fitness-walk-2016?int=72-3-A614cc1180-dd87-446f-9cba-1835e74d5b22
Celebration Run San Diego;Sunday, November  6, 2016 - Sunday, November  6, 2016;Mission Bay Bonita Cove San Diego , CA 92109 ;running; Running Distance Running 10K Half Marathon Beginner San Diego, CA;Celebration Run;http://celebrationrun.com;http://www.active.com//san-diego-ca/running/distance-running-races/celebration-run-san-diego-2016?int=72-3-A83f708039-7f17-4a2c-b8c7-a58b1fcfdb18
29th Annual Feaster Five;Thursday, November 24, 2016;Feaster Five Start: Rte. 28 and Rte. 133and Finish: Brickstone Square Andover , MA 01810 ;running; Running 5K 1K 5 Mile Beginner;Feaster Five ;http://feasterfive.com;http://www.active.com//andover-ma/running/29th-annual-feaster-five-2016?int=72-3-A4eceae797-4fe7-429a-8d85-ccf91285aa7f
Arizona Road Racers Thanksgiving Day Classic;Thursday, November 24, 2016;Peoria Sports Complex 16101 N 83rd Ave Peoria , AZ 85382 ;running; Running Distance Running 5K 1 Mile 10 Mile Peoria, AZ;Arizona Road Racers;http://arizonaroadracers.com/events/thanksgiving-day-classic;http://www.active.com//peoria-az/running/distance-running-races/arizona-road-racers-thanksgiving-day-classic-2016?int=72-3-A101bcc6a80-8924-41ff-8d80-ecbb4f076179
LiveWell Fitness Center: Couch to 5K and 5K to 10K;Wednesday, July 19, 2017 - Sunday, September 17, 2017;National Training Center 1935 Don Wickham Drive Clermont , FL 34711 ;running; Running Distance Running 10K 5K Beginner Clermont, FL;National Training Center;http://www.usantc.com/livewell-fitness-center-couch-to-5k/;http://www.active.com//clermont-fl/running/distance-running-programs/livewell-fitness-center-couch-to-5k-and-5k-to-10k-2017?int=72-3-A1683f3915-746f-451b-916d-7242051861bf
Ka Iwi Coast Run & Walk 2016;Sunday, November 20, 2016;Hui Nalu Canoe Club Sandy Beach Park to Maunalua Bay Honolulu , HI 96825 ;running; Running Distance Running Beginner Honolulu, HI;North Shore Triathlon;http://www.kaiwicoastrun.org/;http://www.active.com//honolulu-hi/running/distance-running-races/ka-iwi-coast-run-and-walk-2016?int=72-3-A119a07a82f-24c1-4562-a96c-666efd659768
Gupton Jeep Tom King Classic Half-Marathon and 5K Run - 23rd Annual;Saturday, March  4, 2017;Nissan Stadium 1 Titans Way Nashville , TN 37213 ;running; Running Distance Running Half Marathon 5K Beginner Nashville, TN;Nashville Striders;http://ww.tomkingclassic.com;http://www.active.com//nashville-tn/running/distance-running-races/gupton-jeep-tom-king-classic-half-marathon-and-5k-run-23rd-annual-2017?int=72-3-A3abf12c2e-e0ab-431c-8146-a67c9df62695
4th Annual Hunger Run 5k;Saturday, April 15, 2017;Al Lopez Park 4810 N Himes Ave Tampa , FL 33614 ;running; Running 5K Beginner Tampa, FL;Kaye Prox Food Bank;http://www.hungerrun5k.com/home.html;http://www.active.com//tampa-fl/running/distance-running-races/4th-annual-hunger-run-5k-2017?int=72-3-A4ed642470-f0d8-465c-98cc-d784cd503979
Mermaid Run San Francisco (Sirena10 Mile, 10k, 5k);Sunday, November 13, 2016;Little Marina Green 3500 Yacht Road San Francisco , CA 94123 ;running; Running Distance Running 10 Mile 5K 10K Beginner San Francisco, CA;Mermaid Series;http://www.mermaidseries.com;http://www.active.com//san-francisco-ca/running/distance-running-races/mermaid-run-san-francisco-sirena10-mile-10k-5k-2016?int=72-3-A1694a2c01-38b4-428b-b890-27640cafd85d
42nd Bermuda Marathon Weekend & Bermuda Triangle Challenge;Friday, January 13, 2017 - Sunday, January 15, 2017;Flag Pole Front Street Hamilton , Pembroke , Bermuda HM11 ;running; Running Distance Running Half Marathon 10K Marathon Beginner;Bermuda National Athletics Assoc;http://www.bermudaraceweekend.com;http://www.active.com//hamilton-pembroke/running/distance-running-races/42nd-bermuda-marathon-weekend-and-bermuda-triangle-challenge-2017?int=72-3-A105d4f22f1-a812-424d-ac43-9e07b42c11b1
2016 Resolute Reindeer Run;Saturday, December 10, 2016;USC Lancaster 476 Hubbard Drive Lancaster , SC 29720 ;running; Running 5K Beginner;Habitat for Humanity of Lancaster ;http://www.habitatlancastersc.org/rrr.php;http://www.active.com//lancaster-sc/running/distance-running-races/resolute-reindeer-run-2016?int=72-3-A58fe87ca4-17d4-454b-9ab9-7097124992d9
BRIDGE TO BREWS;Sunday, April  9, 2017;Waterfront Park 400 SW Naito Pkwy. Portland , OR 97204 ;running; Running 10K 8K 1K Beginner Portland, OR;Terrapin Events Inc;http://www.terrapinevents.com;http://www.active.com//portland-or/running/distance-running-races/bridge-to-brews-2017?int=72-3-A7d179d2db-668a-4809-9d5b-d21c7c2e189b
Dirty December Poker Fun Run 2016;Saturday, December 17, 2016;Sycamore Canyon Ridge Trail Poway , CA 92064 ;running; Running Trail Running 10K Half Marathon Beginner Poway, CA;Dirty Feet Productions;http://dirtyfeet.us/trailraces/decemberrun/;http://www.active.com//poway-ca/running/trail-run-races/dirty-december-poker-fun-run-2016?int=72-3-A11bbbb278b-99aa-4ec0-8956-710c6d012fbd
2016 Charlotte Turkey Trot;Thursday, November 24, 2016;Southpark Mall 4400 Sharon Rd Charlotte , NC 28211 ;running; Running Distance Running 5K 8K 1 Mile Beginner Charlotte, NC;RMSSPORTS;http://www.charlotteturkeytrot.com/;http://www.active.com//charlotte-nc/running/distance-running-races/charlotte-turkey-trot-2016?int=72-3-A11fbb0dbc5-8dfe-468d-b8f9-829291ac2e6d
2017 Pro Football Hall of Fame Marathon;Saturday, April 29, 2017 - Sunday, April 30, 2017;Downtown Canton 201 Market Ave N Canton , OH 44702 ;running; Walking Marathon 5K Half Marathon Beginner Canton, OH;Pro Football Hall of Fame Marathon;http://www.hofmarathon.com;http://www.active.com//canton-oh/running/distance-running-races/pro-football-hall-of-fame-marathon-2017?int=72-3-A2a780c7ed-bd9e-4ba7-afad-ce799c1c4a3b
Apply for a place on Team Legion in the Virgin Money London Marathon 2017;Sunday, April 23, 2017;Greenwich Park Blackheath Avenue London , GB , United Kingdom SE10 8XJ ;running; Running Marathon;The Royal British Legion;http://www.britishlegion.org.uk/londonmarathon;http://www.active.com//london-gb/running/distance-running-races/apply-for-a-place-on-team-legion-in-the-virgin-money-london-marathon-2017?int=72-3-A70994b8be-681c-4d5d-a940-852da1addf14
The Holiday Half Marathon!;Saturday, December 10, 2016;Shore Road Promenade 6901 Shore Road Brooklyn , NY 11209 ;running; Running Half Marathon Beginner Brooklyn, NY;Trimara Inc.;http://www.trimarasports.com;http://www.active.com//brooklyn-ny/running/distance-running-races/the-holiday-half-marathon-2016?int=72-3-A1228034dc-b9b7-43fc-a85e-9cbe9c0ef258
Intro to Track and Field;Monday, November  7, 2016 @  5:00 PM (PST) - Wednesday, November 30, 2016 @  6:00 PM (PST);  Corona High School 1150 W. 10th St. Corona , CA 92882 ;running; Running Corona, CA;City of Corona; ;http://www.active.com/http://www.activekids.com/corona-ca/running/classes/intro-to-track-and-amp-field-2016-25894039?int=72-3-A931fdf8f4-6f28-481e-92da-d8a3d9514b04
Santa Clarita Marathon;Sunday, November  6, 2016 - Sunday, November  6, 2016;Westfield Valencia Town Center Mall 24500 Town Center Drive Santa Clarita , CA 91355 ;running; Running Distance Running 1K Half Marathon Marathon 5K Beginner Santa Clarita, CA;Santa Clarita Marathon;http://scmarathon.org;http://www.active.com//santa-clarita-ca/running/distance-running-races/santa-clarita-marathon-2016?int=72-3-A9559214c8-8c29-436c-9688-66163065c5e0
2017 Star Wars Half Marathon - The Light Side;Thursday, January 12, 2017 - Sunday, January 15, 2017;DisneylandВ® Resort 1313 S. Harbor Blvd Anaheim , CA 92802 ;running; Running Distance Running 5K 10K Half Marathon Anaheim, CA;runDisney;http://www.runDisney.com;http://www.active.com//anaheim-ca/running/distance-running-races/star-wars-half-marathon-the-light-side-2017?int=72-3-A57b117c84-2d1a-411e-830a-08ca329ad0dc
