Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
IRONMAN COZUMEL 2016;Sunday, November 27, 2016;  Cozumel Cozumel , Cozumel , Mexico 77600 ;triathlon; Triathlon Ironman;ASDEPORTE USA, LLC_WTC;http://www.ironmancozumel.com;http://www.active.com//cozumel-cozumel/triathlon/races/ironman-cozumel-2016?int=72-3-A1
HITS Triathlon Series Championship - Palm Springs, CA 2016;Saturday, December  3, 2016 - Sunday, December  4, 2016;Palm Springs, CA Lake Cahuilla Park 58075 Jefferson Street and Cahuilla Park Road La Quinta , CA 92253 ;triathlon; Triathlon International Sprint Beginner La Quinta, CA;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//la-quinta-ca/triathlon/races/hits-triathlon-series-championship-palm-springs-ca-2016?int=72-3-A2
Morro Bay Triathlon 2016;Sunday, November  6, 2016 - Sunday, November  6, 2016;Coleman Park Embarcadero Rd Morro Bay , CA 93442 ;triathlon; Triathlon International Sprint Beginner Morro Bay, CA;All Out Events LLC;http://www.morrobaytri.com;http://www.active.com//morro-bay-ca/boating/kayaking-races/morro-bay-triathlon-2016?int=72-3-A3
Triathlon Festival (Island-2-Island) Early Bird Price - First 200 Sign-ups;Saturday, June  3, 2017 - Sunday, June  4, 2017;Isle Off Arran Arran Outdoor Centre Lamlash , United Kingdom KA278GE ;triathlon; Water Sports;Isla Group;http://arrantriathlonfestival.com;http://www.active.com//lamlash/water-sports/swimming-races/triathlon-festival-island-2-island-early-bird-price-first-200-sign-ups-2017?int=72-3-A4
FULL & HALF ICAN GANDIA 2017 FECHA NO CONFIRMADA;Saturday, October  7, 2017;GANDIA Playa de gandia Gandia , ES , Spain 46730 ;triathlon; Triathlon;ican triathlon series sl;http://icantriathlon.com/;http://www.active.com//gandia-es/triathlon/races/full-and-half-ican-gandia-fecha-no-confirmada-2017?int=72-3-A5
TOUGHMAN PUERTO RICO;Sunday, October  1, 2017;Paseo del Litoral Mayaguez PR-102 Km. 3.1 Mayaguez , PR 00682 ;triathlon; Triathlon Beginner;Madre Tierra Tri Team;http://teammadretierra.com/toughman-puertorico;http://www.active.com//mayaguez-pr/triathlon/races/toughman-puerto-rico-2017?int=72-3-A6
Tri the Wildwoods 2017;Saturday, August 26, 2017;North Wildwood 15th and the Beach North Wildwood , NJ 08260 ;triathlon; Running 5K Beginner;DelMoSports, LLC;http://delmosports.com/wildwood-jersey-shore-triathlon/;http://www.active.com//north-wildwood-nj/running/distance-running-races/tri-the-wildwoods-2017?int=72-3-A7
SoCal Youth Triathlon Series Kids LA Tri 1 PRERACE Clinic;Saturday, March  4, 2017;Bonelli Park 120 Via Verde San Dimas , CA 91773 ;triathlon; Triathlon Beginner San Dimas, CA;TriUSCoaching;http://www.triuscoaching.com/upcoming-events;http://www.active.com//san-dimas-ca/triathlon/camps/socal-youth-triathlon-series-kids-la-tri-1-prerace-clinic-2017?int=72-3-A8
2017 Lavaman Waikoloa;Sunday, April  2, 2017;Waikoloa Beach Resort 425 Waikoloa Beach Drive Waikoloa , HI 96738 ;triathlon; Triathlon;Lavaman LLC, dba Hawaii Sports Connection;http://www.lavamantriathlon.com;http://www.active.com//waikoloa-hi/triathlon/races/lavaman-waikoloa-2017?int=72-3-A6
Pasadena Triathlon & 5k;Saturday, March 11, 2017;Rose Bowl in Pasadena 1001 Rose Bowl Drive Pasadena , CA 91103 ;triathlon; Triathlon 5K Super Sprint Sprint Beginner Pasadena, CA;Generic Events; ;http://www.active.com//pasadena-ca/running/distance-running-races/pasadena-triathlon-and-5k-2017?int=72-3-A7
Ironman 70.3 Monterrey 2017;Sunday, May 14, 2017;Macroplaza Monterrey Macroplaza Monterrey,Zona Centro , Nuevo Leon , Mexico 64000 ;triathlon; Triathlon Half Ironman;ASDEPORTE USA, LLC_WTC;http://www.ironmanmonterrey.com;http://www.active.com//monterrey-zona-centro-nuevoleon/triathlon/races/ironman-70-3-monterrey-2017?int=72-3-A8
TOUGHKids Championship Triathlon;Saturday, September 16, 2017;Lake Welch, Harriman State Park 800 Kanawauke Rd Stony Point , NY 10980 ;triathlon; Triathlon;Toughman Inc. 501 C3;http://toughkidstri.com;http://www.active.com//stony-point-ny/triathlon/races/toughkids-championship-triathlon-2017-26428019?int=72-3-A9
HITS Triathlon Series - Naples, FL 2017;Saturday, January  7, 2017 - Sunday, January  8, 2017;Naples, FL Vanderbilt Beach Vanderbilt Beach Road Naples , FL 34112 ;triathlon; Triathlon Sprint International Beginner Naples, FL;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//naples-fl/triathlon/races/hits-triathlon-series-naples-fl-2017?int=72-3-A9
Turkey Triathlon;Sunday, November 20, 2016;Bonelli Park 120 Via Verde Park Road (South Shore) San Dimas , CA 91773 ;triathlon; Triathlon Sprint Beginner San Dimas, CA;Renegade Racing;http://renegaderaceseries.com;http://www.active.com//san-dimas-ca/duathlon/races/turkey-triathlon-2016?int=72-3-A10
MetaSprint Series 2017;Sunday, February 12, 2017 - Sunday, April 23, 2017;AQUA: Palawan Beach | DUA: F1 Village | TRI: East Coast Park (TBC) Singapore - , Singapore 099981 ;triathlon; Triathlon Beginner;MetaSport;http://www.metasprintseries.com/;http://www.active.com//duathlon/races/metasprint-series-2017?int=72-3-A10
Exceleration - Youth of Steel;Monday, September 12, 2016 @  5:00 PM - Monday, December 12, 2016 @  7:00 PM;Templeton Park Pool 700 Templeton Drive Vancouver , BC , Canada V6G 1Z4 ;triathlon;  ;Vancouver Board of Parks and Recreation; ;http://www.active.com//vancouver-bc/triathlon/classes/exceleration-youth-of-steel-2016-25335921?int=72-3-A11
Tri Fort Worth Half Iron distance Triathlon;Sunday, May 21, 2017;Marine Creek 2664 Jim Wright freeway Fort Worth , TX 76116 ;triathlon; Other Endurance Fort Worth, TX;Trident Sports;http://www.trifortworth.com;http://www.active.com//fort-worth-tx/triathlon/races/tri-fort-worth-half-iron-distance-triathlon-2017?int=72-3-A11
