Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Falkirk Funduro!;Saturday, November 26, 2016;Greenrig Car Park Lochgreen Road Callendar Estate Falkirk , United Kingdom FK1 3AQ ;cycling; Cycling Mountain Biking Beginner;The Scottish Mountain Bike Consortium;http://www.muckmedden.co.uk/falkirk-funduro/;http://www.active.com//falkirk/cycling/mountain-biking-races/falkirk-funduro-2016?int=72-3-A1c835e1b1-03d3-44da-993f-9e5c668481a5
Gran Fondo Giro d'Italia Northern Ireland 2017;Saturday, June  3, 2017 - Sunday, June  4, 2017;Titanic Exhibition Centre Titanic Exhibition Centre, Titanic Quarter 17 QueenвЂ™s Road Belfast , United Kingdom BT3 9DU ;cycling; Cycling;SHADETREE SPORTS LTD;http://www.granfondogiroditaliani.com/;http://www.active.com//belfast/cycling/races/gran-fondo-giro-d-italia-northern-ireland-2017?int=72-3-A217b9a1a9-a2a7-4469-8fcc-ab0a2e70eb2b
Welsh Wild West Sportive, powered by Continental;Sunday, May 28, 2017;Aberystwyth Bandstand Promenade Aberystwyth , Ceredigion , United Kingdom SY23 2BX ;cycling; Cycling;AberCycleFest;http://www.abercyclefest.com;http://www.active.com//aberystwyth-ceredigion/cycling/races/welsh-wild-west-sportive-powered-by-continental-2017?int=72-3-A3197c38e1-593f-4899-b411-c80e3fd04865
Great Notts Bike Ride 2017;Sunday, June 25, 2017;Nottingham's Victoria Embankment Victoria Embankment Nottingham , GB , United Kingdom NG2 2JY ;cycling; Cycling Mountain Biking;Perfect Motion;http://www.cyclelivenottingham.co.uk/;http://www.active.com//nottingham-gb/cycling/mountain-biking-races/great-notts-bike-ride-2017?int=72-3-A41a96a13f-246f-4f90-91b9-abde8b4519a4
Yorkshire 3 Day MTB Sportif;Friday, May 12, 2017 - Sunday, May 14, 2017;Hackness Grange Hotel Scarborough Yorkshire , United Kingdom QLD4020 ;cycling; Cycling Mountain Biking Beginner;Trisport International;http://trisportinternational.com/tri-event/yorkshire-3-day-mtb/;http://www.active.com//yorkshire-unitedkingdom/cycling/mountain-biking-races/yorkshire-3-day-mtb-sportif-2017?int=72-3-A5af44084c-ed6a-4305-8e0c-cfbc1fee598d
Copy of Greene Farm Charity Sportive;Monday, May  1, 2017; ;cycling; Running 5K Beginner;Greene Farm Foods;http://www.greenefarmfoods.com;http://www.active.com//multyfarnham-village-cowestmeath/running/distance-running-races/copy-of-greene-farm-charity-sportive-2017?int=72-3-A679b922b8-6284-4a85-bf9e-8fc9399cab93
Yorkshire 3 Day MTB Sportif;Friday, May 12, 2017 - Sunday, May 14, 2017;Hackness Grange Hotel Scarborough Yorkshire Scarborough , United Kingdom GB-SYK ;cycling; Cycling Mountain Biking;Trisport PTY LTD;http://trisportinternational.com/tri-event/yorkshire-3-day-mtb/;http://www.active.com//scarborough-unitedkingdom/cycling/mountain-biking-races/yorkshire-3-day-mtb-sportif-2017?int=72-3-A709c99fe9-efe7-45bb-912d-5db8db163d0c
Muckmedden Events 2016 - Traders Registration;Friday, June 17, 2016 - Saturday, November 26, 2016;Various (See tickets) Muckmedden Events Abernethy , Perth and Kinross , United Kingdom PH29GY ;cycling; Cycling Mountain Biking;The Scottish Mountain Bike Consortium;http://www.muckmedden.co.uk/;http://www.active.com//abernethy-perthandkinross/cycling/mountain-biking-races/muckmedden-events-traders-registration-2016?int=72-3-A81e9d010e-a637-420c-bc84-b967f130d57e
Bike Girl MTB - Yorkshire;Sunday, May 21, 2017;Dalby Forest Adderstone Field Scarborough , United Kingdom QLD4020 ;cycling; Cycling Mountain Biking Beginner;Trisport International;http://trisportinternational.com/tri-event/yorkshire-bike-girl-mtb/;http://www.active.com//scarborough-unitedkingdom/cycling/mountain-biking-races/bike-girl-mtb-yorkshire-2017?int=72-3-A90cad84ce-996e-401f-8f09-0d815a40bbae
North to South Wales Cycle for Tenovus Cancer Care;Friday, March 17, 2017 - Sunday, March 19, 2017;LL29 7SP Eirias Park Colwyn Bay Conwy , United Kingdom LL29 7SP ;cycling; Cycling;Tenovus Cancer Care;http://www.tenovuscancercare.org/northtosouth;http://www.active.com//conwy/cycling/races/north-to-south-wales-cycle-for-tenovus-cancer-care-2017?int=72-3-A1064d521a5-8eab-4121-bfb1-1ea080ee404a
Velo Retro 2017;Friday, July 14, 2017 - Sunday, July 16, 2017;The Coronation Hall County Square Ulverston , Cumbria , United Kingdom LA12 7LZ ;cycling; Cycling;Sportive Lakes Ltd;http://www.veloretro.co.uk;http://www.active.com//ulverston-cumbria/cycling/velo-retro-2017?int=72-3-A119415691a-0110-43e9-89f7-172fe75fea69
