Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Turkey Trot Los Angeles;Thursday, November 24, 2016;Downtown L.A. - Civic Center Grand Park N. Spring Street Los Angeles , CA 90012 ;running; Running 5K 10K 1K Beginner Los Angeles, CA;Generic Events; ;http://www.active.com//los-angeles-ca/running/distance-running-races/turkey-trot-los-angeles-2016?int=72-3-A151fce2d8-f49f-4174-8dd2-33c86f099e3c
29th Annual Feaster Five;Thursday, November 24, 2016;Feaster Five Start: Rte. 28 and Rte. 133; Finish: Brickstone Square Andover , MA 01810 ;running; Running 5K 1K 5 Mile Beginner;Feaster Five ;http://feasterfive.com;http://www.active.com//andover-ma/running/29th-annual-feaster-five-2016?int=72-3-A2eceae797-4fe7-429a-8d85-ccf91285aa7f
Holiday Fantasy of Lights 5K Run & Fitness Walk 2016;Saturday, November 12, 2016;Tradewinds Park 3600 West Sample Road Coconut Creek , FL 33066 ;running; Running Distance Running 5K Beginner;Holiday Fantasy of Lights;http://www.holidaylightsdrivethru.com;http://www.active.com//coconut-creek-fl/running/distance-running-races/holiday-fantasy-of-lights-5k-run-and-fitness-walk-2016?int=72-3-A314cc1180-dd87-446f-9cba-1835e74d5b22
2016 Super Heroes Half Marathon Weekend;Thursday, November 10, 2016 - Sunday, November 13, 2016;DisneylandВ® Resort 1313 S. Harbor Blvd Anaheim , CA 92802 ;running; Running Distance Running Half Marathon 5K 10K Anaheim, CA;runDisney;http://www.runDisney.com;http://www.active.com//anaheim-ca/running/distance-running-races/super-heroes-half-marathon-weekend-2016?int=72-3-A4c6470c2b-5801-410b-9fc6-d1fe7c7f6a9f
Apply for a place on Team Legion in the Virgin Money London Marathon 2017;Sunday, April 23, 2017;Greenwich Park Blackheath Avenue London , GB , United Kingdom SE10 8XJ ;running; Running Marathon;The Royal British Legion;http://www.britishlegion.org.uk/londonmarathon;http://www.active.com//london-gb/running/distance-running-races/apply-for-a-place-on-team-legion-in-the-virgin-money-london-marathon-2017?int=72-3-A50994b8be-681c-4d5d-a940-852da1addf14
Santa Clarita Marathon;Sunday, November  6, 2016 - Sunday, November  6, 2016;Westfield Valencia Town Center Mall 24500 Town Center Drive Santa Clarita , CA 91355 ;running; Running Distance Running 1K Half Marathon Marathon 5K Beginner Santa Clarita, CA;Santa Clarita Marathon;http://scmarathon.org;http://www.active.com//santa-clarita-ca/running/distance-running-races/santa-clarita-marathon-2016?int=72-3-A6559214c8-8c29-436c-9688-66163065c5e0
Celebration Run San Diego;Sunday, November  6, 2016 - Sunday, November  6, 2016;Mission Bay Bonita Cove San Diego , CA 92109 ;running; Running Distance Running 10K Half Marathon Beginner San Diego, CA;Celebration Run;http://celebrationrun.com;http://www.active.com//san-diego-ca/running/distance-running-races/celebration-run-san-diego-2016?int=72-3-A73f708039-7f17-4a2c-b8c7-a58b1fcfdb18
Arizona Road Racers Thanksgiving Day Classic;Thursday, November 24, 2016;Peoria Sports Complex 16101 N 83rd Ave Peoria , AZ 85382 ;running; Running Distance Running 5K 1 Mile 10 Mile Peoria, AZ;Arizona Road Racers;http://arizonaroadracers.com/events/thanksgiving-day-classic;http://www.active.com//peoria-az/running/distance-running-races/arizona-road-racers-thanksgiving-day-classic-2016?int=72-3-A81bcc6a80-8924-41ff-8d80-ecbb4f076179
Ka Iwi Coast Run & Walk 2016;Sunday, November 20, 2016;Hui Nalu Canoe Club Sandy Beach Park to Maunalua Bay Honolulu , HI 96825 ;running; Running Distance Running Beginner Honolulu, HI;North Shore Triathlon;http://www.kaiwicoastrun.org/;http://www.active.com//honolulu-hi/running/distance-running-races/ka-iwi-coast-run-and-walk-2016?int=72-3-A99a07a82f-24c1-4562-a96c-666efd659768
Mermaid Run San Francisco (Sirena10 Mile, 10k, 5k);Sunday, November 13, 2016;Little Marina Green 3500 Yacht Road San Francisco , CA 94123 ;running; Running Distance Running 10 Mile 5K 10K Beginner San Francisco, CA;Mermaid Series;http://www.mermaidseries.com;http://www.active.com//san-francisco-ca/running/distance-running-races/mermaid-run-san-francisco-sirena10-mile-10k-5k-2016?int=72-3-A10694a2c01-38b4-428b-b890-27640cafd85d
