Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
IRONMAN COZUMEL 2016;Sunday, November 27, 2016;  Cozumel Cozumel , Cozumel , Mexico 77600 ;triathlon; Triathlon Ironman;ASDEPORTE USA, LLC_WTC;http://www.ironmancozumel.com;http://www.active.com//cozumel-cozumel/triathlon/races/ironman-cozumel-2016?int=72-3-A1de6336e8-6a45-43ff-b00b-c75d9050df94
Morro Bay Triathlon 2016;Sunday, November  6, 2016 - Sunday, November  6, 2016;Coleman Park Embarcadero Rd Morro Bay , CA 93442 ;triathlon; Triathlon International Sprint Beginner Morro Bay, CA;All Out Events LLC;http://www.morrobaytri.com;http://www.active.com//morro-bay-ca/boating/kayaking-races/morro-bay-triathlon-2016?int=72-3-A2604e7ab3-047a-4b8a-bcec-f0f7a2837ec9
HITS Triathlon Series Championship - Palm Springs, CA 2016;Saturday, December  3, 2016 - Sunday, December  4, 2016;Palm Springs, CA Lake Cahuilla Park 58075 Jefferson Street and Cahuilla Park Road La Quinta , CA 92253 ;triathlon; Triathlon International Sprint Beginner La Quinta, CA;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//la-quinta-ca/triathlon/races/hits-triathlon-series-championship-palm-springs-ca-2016?int=72-3-A35da8ab88-c6f8-42de-be2c-e42274010c08
FULL & HALF ICAN GANDIA 2017 FECHA NO CONFIRMADA;Saturday, October  7, 2017;GANDIA Playa de gandia Gandia , ES , Spain 46730 ;triathlon; Triathlon;ican triathlon series sl;http://icantriathlon.com/;http://www.active.com//gandia-es/triathlon/races/full-and-half-ican-gandia-fecha-no-confirmada-2017?int=72-3-A4a5ba3841-133f-4dc1-83ca-575d0847d1b2
Triathlon Festival (Island-2-Island) Early Bird Price - First 200 Sign-ups;Saturday, June  3, 2017 - Sunday, June  4, 2017;Isle Off Arran Arran Outdoor Centre Lamlash , United Kingdom KA278GE ;triathlon; Water Sports;Isla Group;http://arrantriathlonfestival.com;http://www.active.com//lamlash/water-sports/swimming-races/triathlon-festival-island-2-island-early-bird-price-first-200-sign-ups-2017?int=72-3-A58ec3fd22-b54c-41a7-bf66-b45be7d0a598
2017 Lavaman Waikoloa;Sunday, April  2, 2017;Waikoloa Beach Resort 425 Waikoloa Beach Drive Waikoloa , HI 96738 ;triathlon; Triathlon;Lavaman LLC, dba Hawaii Sports Connection;http://www.lavamantriathlon.com;http://www.active.com//waikoloa-hi/triathlon/races/lavaman-waikoloa-2017?int=72-3-A6d0cccdc1-5126-4e71-b354-b236d641a12d
Pasadena Triathlon & 5k;Saturday, March 11, 2017;Rose Bowl in Pasadena 1001 Rose Bowl Drive Pasadena , CA 91103 ;triathlon; Triathlon 5K Super Sprint Sprint Beginner Pasadena, CA;Generic Events; ;http://www.active.com//pasadena-ca/running/distance-running-races/pasadena-triathlon-and-5k-2017?int=72-3-A7cbbb4be3-9050-49dd-a225-a77f61f7f0b0
USA Triathlon 2017 Draft-Legal Sprint Triathlon World Championship Qualifier;Saturday, November  5, 2016;South Shore Harbor Marina 6701 Stars and Stripes Blvd. New Orleans , LA 70124 ;triathlon; Triathlon Sprint New Orleans, LA;Premier Event Management; ;http://www.active.com//new-orleans-la/triathlon/races/usa-triathlon-2017-draft-legal-sprint-triathlon-world-championship-qualifier-2016?int=72-3-A827d0022a-7cff-486e-a44b-eba37d2c520a
HITS Triathlon Series - Naples, FL 2017;Saturday, January  7, 2017 - Sunday, January  8, 2017;Naples, FL Vanderbilt Beach Vanderbilt Beach Road Naples , FL 34112 ;triathlon; Triathlon Sprint International Beginner Naples, FL;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//naples-fl/triathlon/races/hits-triathlon-series-naples-fl-2017?int=72-3-A92661f7f0-07a9-49bf-8515-1cd8caf45bce
Ironman 70.3 Monterrey 2017;Sunday, May 14, 2017;Macroplaza Monterrey Macroplaza Monterrey,Zona Centro , Nuevo Leon , Mexico 64000 ;triathlon; Triathlon Half Ironman;ASDEPORTE USA, LLC_WTC;http://www.ironmanmonterrey.com;http://www.active.com//monterrey-zona-centro-nuevoleon/triathlon/races/ironman-70-3-monterrey-2017?int=72-3-A1048ce4946-be3f-4db3-9d07-872e63002b7c
